City,State,Date,Avg_List_Price
Bakersfield,CA,2020-09-30,297333.0
Knoxville,TN,2020-09-30,339967.0
Greenville,SC,2020-09-30,284686.0
Ventura,CA,2020-09-30,868300.0
Allentown,PA,2020-09-30,320247.0
El Paso,TX,2020-09-30,212851.0
Baton Rouge,LA,2020-09-30,268230.0
Dayton,OH,2020-09-30,216371.0
McAllen,TX,2020-09-30,223000.0
Columbia,SC,2020-09-30,241955.0
Greensboro,NC,2020-09-30,288297.0
Akron,OH,2020-09-30,184000.0
North Port-Sarasota-Bradenton,FL,2020-09-30,382497.0
Little Rock,AR,2020-09-30,205950.0
Stockton,CA,2020-09-30,458325.0
Charleston,SC,2020-09-30,400110.0
Syracuse,NY,2020-09-30,188590.0
Colorado Springs,CO,2020-09-30,484042.0
Winston-Salem,NC,2020-09-30,304016.0
Wichita,KS,2020-09-30,252400.0
Springfield,MA,2020-09-30,323279.0
Fort Myers,FL,2020-09-30,270672.0
Boise City,ID,2020-09-30,426657.0
Toledo,OH,2020-09-30,208250.0
Madison,WI,2020-09-30,343300.0
Lakeland,FL,2020-09-30,250172.0
Ogden,UT,2020-09-30,444675.0
Daytona Beach,FL,2020-09-30,289618.0
Des Moines,IA,2020-09-30,272929.0
Provo,UT,2020-09-30,473088.0
Durham,NC,2020-09-30,422351.0
Fort Collins,CO,2020-09-30,463148.0
New York,NY,2020-10-31,649333.0
Los Angeles-Long Beach-Anaheim,CA,2020-10-31,975667.0
Chicago,IL,2020-10-31,349667.0
Dallas-Fort Worth,TX,2020-10-31,359096.0
Philadelphia,PA,2020-10-31,338000.0
Houston,TX,2020-10-31,335032.0
Washington,DC,2020-10-31,541517.0
Miami-Fort Lauderdale,FL,2020-10-31,403608.0
Atlanta,GA,2020-10-31,356305.0
Boston,MA,2020-10-31,657598.0
San Francisco,CA,2020-10-31,999401.0
Detroit,MI,2020-10-31,278333.0
Riverside,CA,2020-10-31,480000.0
Phoenix,AZ,2020-10-31,399967.0
Seattle,WA,2020-10-31,652667.0
Minneapolis-St Paul,MN,2020-10-31,378104.0
San Diego,CA,2020-10-31,832933.0
St. Louis,MO,2020-10-31,255400.0
Tampa,FL,2020-10-31,302651.0
Baltimore,MD,2020-10-31,356667.0
Denver,CO,2020-10-31,532000.0
Pittsburgh,PA,2020-10-31,234467.0
Portland,OR,2020-10-31,501002.0
Charlotte,NC,2020-10-31,369671.0
Sacramento,CA,2020-10-31,567163.0
San Antonio,TX,2020-10-31,297967.0
Orlando,FL,2020-10-31,332133.0
Cincinnati,OH,2020-10-31,320833.0
Cleveland,OH,2020-10-31,205933.0
Kansas City,MO,2020-10-31,345000.0
Las Vegas,NV,2020-10-31,346333.0
Columbus,OH,2020-10-31,322963.0
Indianapolis,IN,2020-10-31,299630.0
San Jose,CA,2020-10-31,1248317.0
