City,State,Date,HVI
Brunswick,GA,RegionID,394423.0
Ogdensburg,NY,RegionID,394932.0
San Angelo,TX,RegionID,395054.0
Michigan City,IN,RegionID,394857.0
Holland,MI,RegionID,753890.0
Wenatchee,WA,RegionID,395218.0
Lawrence,KS,RegionID,394778.0
Decatur,IL,RegionID,394524.0
Missoula,MT,RegionID,394867.0
Salem,OH,RegionID,753915.0
Bay City,MI,RegionID,394369.0
Lewiston,ME,RegionID,394788.0
Roseburg,OR,RegionID,395039.0
Sumter,SC,RegionID,395139.0
Show Low,AZ,RegionID,395095.0
Meridian,MS,RegionID,394852.0
Bluefield,WV,RegionID,394396.0
Danville,VA,RegionID,394518.0
Lima,OH,RegionID,394794.0
Cookeville,TN,RegionID,394495.0
California-Lexington Park,MD,RegionID,753872.0
Gadsden,AL,RegionID,394620.0
Cumberland,MD,RegionID,394513.0
Longview,WA,RegionID,394804.0
Whitewater,WI,RegionID,395222.0
Fond du Lac,WI,RegionID,394599.0
Ithaca,NY,RegionID,394709.0
Ashtabula,OH,RegionID,394340.0
Gettysburg,PA,RegionID,394630.0
Pine Bluff,AR,RegionID,394980.0
Tullahoma,TN,RegionID,395168.0
Richmond,KY,RegionID,395023.0
Adrian,MI,RegionID,394302.0
Twin Falls,ID,RegionID,395173.0
Corning,NY,RegionID,394501.0
Sebring,FL,RegionID,395080.0
Truckee,CA,RegionID,395166.0
Paducah,KY,RegionID,394953.0
Grand Forks,ND,RegionID,394637.0
Shelby,NC,RegionID,395090.0
Fairbanks,AK,RegionID,394580.0
Ocean City,NJ,RegionID,394928.0
Mankato,MN,RegionID,394823.0
Rome,GA,RegionID,395038.0
Cape Girardeau,MO,RegionID,394441.0
Hot Springs,AR,RegionID,394689.0
Greenwood,SC,RegionID,394655.0
Sunbury,PA,RegionID,395140.0
Clarksburg,WV,RegionID,394469.0
Victoria,TX,RegionID,395190.0
Talladega,AL,RegionID,395145.0
Dubuque,IA,RegionID,394542.0
The Villages,FL,RegionID,395153.0
Albertville,AL,RegionID,394311.0
Manhattan,KS,RegionID,394821.0
Parkersburg,WV,RegionID,394964.0
New Philadelphia,OH,RegionID,394911.0
Orangeburg,SC,RegionID,394942.0
Cheyenne,WY,RegionID,394462.0
New Castle,PA,RegionID,394907.0
Brainerd,MN,RegionID,394410.0
Kalispell,MT,RegionID,394733.0
Sevierville,TN,RegionID,395086.0
Ames,IA,RegionID,394325.0
Bozeman,MT,RegionID,394407.0
Moses Lake,WA,RegionID,394882.0
Indiana,PA,RegionID,394704.0
Elmira,NY,RegionID,394568.0
Meadville,PA,RegionID,394847.0
Beaver Dam,WI,RegionID,394373.0
Pinehurst-Southern Pines,NC,RegionID,753912.0
Ukiah,CA,RegionID,395175.0
Hermiston-Pendleton,OR,RegionID,753887.0
Lufkin,TX,RegionID,394809.0
Zanesville,OH,RegionID,395248.0
Corvallis,OR,RegionID,394505.0
Bloomsburg,PA,RegionID,394395.0
Laurel,MS,RegionID,394776.0
Russellville,AR,RegionID,395042.0
Branson,MO,RegionID,394411.0
Watertown,WI,RegionID,395212.0
Midland,MI,RegionID,394859.0
Opelousas,LA,RegionID,394941.0
Pocatello,ID,RegionID,394988.0
Kokomo,IN,RegionID,394755.0
Grants Pass,OR,RegionID,394641.0
Huntsville,TX,RegionID,394699.0
Plattsburgh,NY,RegionID,394986.0
Grand Island,NE,RegionID,394638.0
DuBois,PA,RegionID,394541.0
Danville,IL,RegionID,394516.0
Manitowoc,WI,RegionID,394822.0
Great Falls,MT,RegionID,394644.0
Wilson,NC,RegionID,395231.0
Cullman,AL,RegionID,394511.0
Olean,NY,RegionID,394936.0
Auburn,NY,RegionID,394350.0
Portsmouth,OH,RegionID,394999.0
Athens,TX,RegionID,394345.0
Oak Harbor,WA,RegionID,394925.0
Chillicothe,OH,RegionID,394465.0
Hinesville,GA,RegionID,394682.0
Somerset,PA,RegionID,395106.0
Warsaw,IN,RegionID,395205.0
Stillwater,OK,RegionID,395133.0
Quincy,IL,RegionID,395010.0
Keene,NH,RegionID,394738.0
Sandusky,OH,RegionID,395062.0
Searcy,AR,RegionID,395077.0
Columbus,IN,RegionID,394489.0
Roanoke Rapids,NC,RegionID,395027.0
Centralia,WA,RegionID,394452.0
Casper,WY,RegionID,394445.0
Helena,MT,RegionID,394675.0
Findlay,OH,RegionID,394593.0
Wisconsin Rapids-Marshfield,WI,RegionID,753928.0
Palatka,FL,RegionID,394955.0
Seneca,SC,RegionID,395085.0
Mount Airy,NC,RegionID,394884.0
Glenwood Springs,CO,RegionID,753881.0
Key West,FL,RegionID,394744.0
Aberdeen,WA,RegionID,394298.0
Gallup,NM,RegionID,394626.0
Port Angeles,WA,RegionID,394994.0
Greenfield Town,MA,RegionID,753883.0
Muskogee,OK,RegionID,394897.0
Frankfort,KY,RegionID,394614.0
Owosso,MI,RegionID,394950.0
Mount Pleasant,MI,RegionID,394885.0
Statesboro,GA,RegionID,395126.0
Marion,IN,RegionID,394826.0
Stevens Point,WI,RegionID,395132.0
Minot,ND,RegionID,394866.0
Shawnee,OK,RegionID,395088.0
North Wilkesboro,NC,RegionID,394922.0
Richmond,IN,RegionID,395021.0
Greeneville,TN,RegionID,394647.0
Martinsville,VA,RegionID,394836.0
Forest City,NC,RegionID,394600.0
Lake City,FL,RegionID,394764.0
Kapaa,HI,RegionID,394736.0
Marquette,MI,RegionID,394829.0
LaGrange,GA,RegionID,394762.0
Marion,OH,RegionID,394827.0
Morehead City,NC,RegionID,394877.0
Klamath Falls,OR,RegionID,394752.0
Marinette,WI,RegionID,394825.0
Roswell,NM,RegionID,395040.0
Marshall,TX,RegionID,394832.0
Farmington,MO,RegionID,394587.0
Charleston,IL,RegionID,394456.0
Athens,OH,RegionID,394343.0
Hobbs,NM,RegionID,394683.0
Clearlake,CA,RegionID,394472.0
Nacogdoches,TX,RegionID,394899.0
Hutchinson,KS,RegionID,394701.0
Faribault,MN,RegionID,394586.0
Elizabeth City,NC,RegionID,394562.0
Ionia,MI,RegionID,753891.0
Alamogordo,NM,RegionID,394305.0
Red Bluff,CA,RegionID,395016.0
Hudson,NY,RegionID,394693.0
Somerset,KY,RegionID,395105.0
Coos Bay,OR,RegionID,394496.0
Walla Walla,WA,RegionID,395199.0
Sayre,PA,RegionID,395071.0
Oneonta,NY,RegionID,394939.0
Fort Madison,IA,RegionID,394605.0
