Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2018-06-30,Boulder,CO,162,1802,1.46
2018-06-30,College Station,TX,192,1145,-0.43
2018-06-30,Gainesville,GA,229,1135,0.09
2018-06-30,Sierra Vista,AZ,309,823,0.24
2018-07-31,New York,NY,1,2678,0.53
2018-07-31,Los Angeles-Long Beach-Anaheim,CA,2,2365,0.38
2018-07-31,Chicago,IL,3,1684,0.18
2018-07-31,Dallas-Fort Worth,TX,4,1366,0.37
2018-07-31,Philadelphia,PA,5,1515,0.07
2018-07-31,Houston,TX,6,1346,0.22
2018-07-31,Washington,DC,7,1972,0.41
2018-07-31,Miami-Fort Lauderdale,FL,8,1866,0.27
2018-07-31,Atlanta,GA,9,1362,0.52
2018-07-31,Boston,MA,10,2470,0.2
2018-07-31,San Francisco,CA,11,3019,0.5
2018-07-31,Detroit,MI,12,1133,0.53
2018-07-31,Riverside,CA,13,1792,0.67
2018-07-31,Phoenix,AZ,14,1242,0.65
2018-07-31,Seattle,WA,15,1857,0.43
2018-07-31,Minneapolis-St Paul,MN,16,1432,0.21
2018-07-31,San Diego,CA,17,2249,0.4
2018-07-31,St. Louis,MO,18,1022,0.69
2018-07-31,Tampa,FL,19,1370,0.44
2018-07-31,Baltimore,MD,20,1494,0.13
2018-07-31,Denver,CO,21,1606,0.5
2018-07-31,Pittsburgh,PA,22,1130,0.53
2018-07-31,Portland,OR,23,1535,0.66
2018-07-31,Charlotte,NC,24,1311,0.31
2018-07-31,Sacramento,CA,25,1719,0.41
2018-07-31,San Antonio,TX,26,1163,0.35
2018-07-31,Orlando,FL,27,1449,0.56
2018-07-31,Cleveland,OH,29,1097,0.46
2018-07-31,Kansas City,MO,30,1055,0.09
2018-07-31,Las Vegas,NV,31,1272,0.63
2018-07-31,Columbus,OH,32,1129,0.44
2018-07-31,Indianapolis,IN,33,1105,0.36
2018-07-31,Austin,TX,35,1401,0.57
2018-07-31,Virginia Beach,VA,36,1256,0.4
2018-07-31,Nashville,TN,37,1390,0.07
2018-07-31,Providence,RI,38,1388,-0.29
2018-07-31,Jacksonville,FL,40,1254,0.56
2018-07-31,Memphis,TN,41,1079,0.47
2018-07-31,Oklahoma City,OK,42,1069,0.19
2018-07-31,Louisville-Jefferson County,KY,43,1032,-0.29
2018-07-31,Hartford,CT,44,1333,0.38
2018-07-31,New Orleans,LA,46,1219,0.33
2018-07-31,Buffalo,NY,47,987,0.1
2018-07-31,Raleigh,NC,48,1320,0.46
2018-07-31,Birmingham,AL,49,1043,-0.95
2018-07-31,Salt Lake City,UT,50,1239,0.9
2018-07-31,Grand Rapids,MI,52,1121,0.18
2018-07-31,Tucson,AZ,53,1100,0.64
2018-07-31,Urban Honolulu,HI,54,2296,-0.09
2018-07-31,Tulsa,OK,55,1005,0.2
2018-07-31,Fresno,CA,56,1429,0.85
2018-07-31,Worcester,MA,57,1398,1.53
2018-07-31,Stamford,CT,58,2126,0.09
2018-07-31,Albuquerque,NM,59,1075,0.56
2018-07-31,Albany,NY,60,1170,-0.26
2018-07-31,Omaha,NE,61,988,0.1
2018-07-31,New Haven,CT,62,1526,0.2
2018-07-31,Bakersfield,CA,63,1212,0.33
2018-07-31,Knoxville,TN,64,1132,0.71
2018-07-31,Greenville,SC,65,1178,0.6
2018-07-31,Ventura,CA,66,2358,0.34
2018-07-31,Allentown,PA,67,1342,0.83
2018-07-31,El Paso,TX,68,1050,0.38
2018-07-31,Baton Rouge,LA,69,1195,-0.17
2018-07-31,Dayton,OH,70,988,1.13
2018-07-31,Greensboro,NC,73,998,1.01
2018-07-31,Akron,OH,74,921,0.55
2018-07-31,North Port-Sarasota-Bradenton,FL,75,1553,0.78
2018-07-31,Little Rock,AR,76,919,0.66
2018-07-31,Stockton,CA,77,1788,1.65
2018-07-31,Charleston,SC,78,1387,0.29
2018-07-31,Syracuse,NY,79,1062,0.0
2018-07-31,Colorado Springs,CO,80,1366,0.52
2018-07-31,Winston-Salem,NC,81,1145,0.26
2018-07-31,Springfield,MA,83,1303,2.04
2018-07-31,Fort Myers,FL,84,1372,0.44
2018-07-31,Boise City,ID,85,1216,1.59
2018-07-31,Toledo,OH,86,990,-0.5
2018-07-31,Madison,WI,87,1169,-0.09
2018-07-31,Lakeland,FL,88,1244,0.81
2018-07-31,Ogden,UT,89,1212,0.75
2018-07-31,Daytona Beach,FL,90,1283,0.31
2018-07-31,Des Moines,IA,91,1069,1.33
2018-07-31,Jackson,MS,92,1163,1.04
2018-07-31,Youngstown,OH,93,745,0.13
2018-07-31,Augusta,GA,94,1000,-0.4
2018-07-31,Scranton,PA,95,927,-0.64
2018-07-31,Harrisburg,PA,96,1063,0.09
2018-07-31,Melbourne,FL,97,1323,0.3
2018-07-31,Chattanooga,TN,98,1081,-0.09
2018-07-31,Spokane,WA,99,1108,-1.42
2018-07-31,Provo,UT,100,1292,1.02
2018-07-31,Durham,NC,104,1285,-0.16
2018-07-31,Port St. Lucie,FL,119,1512,1.27
2018-07-31,Killeen,TX,128,945,0.11
2018-07-31,Fort Collins,CO,159,1512,0.07
2018-07-31,Boulder,CO,162,1817,0.83
2018-07-31,College Station,TX,192,1134,-0.96
2018-07-31,Gainesville,GA,229,1143,0.7
2018-07-31,Sierra Vista,AZ,309,829,0.73
2018-08-31,New York,NY,1,2684,0.22
2018-08-31,Los Angeles-Long Beach-Anaheim,CA,2,2377,0.51
2018-08-31,Chicago,IL,3,1681,-0.18
2018-08-31,Dallas-Fort Worth,TX,4,1370,0.29
2018-08-31,Philadelphia,PA,5,1517,0.13
2018-08-31,Houston,TX,6,1344,-0.15
2018-08-31,Washington,DC,7,1976,0.2
