Date,City,State,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2020-07-31,Ventura,CA,834800.0,3.3,629333.0,1.61,629341.0,0.51,2465.0,0.57
2020-07-31,Allentown,PA,308189.0,2.88,224082.0,2.27,222417.0,0.66,1425.0,0.56
2020-07-31,El Paso,TX,208548.0,1.73,175207.0,2.73,141468.0,0.61,1125.0,1.08
2020-07-31,Baton Rouge,LA,258133.0,1.91,216650.0,0.0,192274.0,-0.13,1199.0,0.67
2020-07-31,Dayton,OH,222761.0,0.33,162133.0,1.48,145347.0,0.72,1068.0,0.85
2020-07-31,McAllen,TX,214933.0,3.37,168208.0,2.02,127114.0,0.6,916.0,0.55
2020-07-31,Columbia,SC,239382.0,1.36,201413.0,2.3,169234.0,-17.78,1158.0,0.96
2020-07-31,Columbia,SC,239382.0,1.36,201413.0,2.3,206470.0,22.0,1158.0,0.96
2020-07-31,Greensboro,NC,285997.0,3.67,190167.0,3.26,165404.0,0.35,1100.0,1.1
2020-07-31,Akron,OH,184300.0,3.38,163783.0,1.76,161500.0,0.62,980.0,0.1
2020-07-31,North Port-Sarasota-Bradenton,FL,374833.0,1.77,294050.0,1.86,289424.0,-0.13,1645.0,1.17
2020-07-31,Little Rock,AR,207458.0,0.6,181333.0,0.69,155552.0,0.58,993.0,1.95
2020-07-31,Stockton,CA,439398.0,2.57,445333.0,0.64,384749.0,0.5,1972.0,1.23
2020-07-31,Charleston,SC,391125.0,2.2,298154.0,2.38,285880.0,237.54,1453.0,0.97
2020-07-31,Charleston,SC,391125.0,2.2,298154.0,2.38,83896.0,-70.65,1453.0,0.97
2020-07-31,Syracuse,NY,188308.0,1.84,158417.0,1.5,155346.0,0.94,1141.0,1.24
2020-07-31,Colorado Springs,CO,488532.0,0.82,361908.0,1.78,340373.0,0.64,1501.0,0.81
2020-07-31,Winston-Salem,NC,304830.0,3.01,199667.0,3.28,165826.0,0.89,1264.0,0.4
2020-07-31,Wichita,KS,260950.0,5.06,172875.0,1.39,150345.0,0.6,839.0,0.6
2020-07-31,Springfield,MA,317869.0,3.12,240317.0,1.9,247286.0,102.91,1374.0,0.37
2020-07-31,Springfield,MA,317869.0,3.12,240317.0,1.9,166927.0,-32.5,1374.0,0.37
2020-07-31,Springfield,MA,317869.0,3.12,240317.0,1.9,123448.0,-26.05,1374.0,0.37
2020-07-31,Fort Myers,FL,269845.0,1.56,244000.0,-0.41,250161.0,0.42,1475.0,0.96
2020-07-31,Boise City,ID,413291.0,2.48,339948.0,2.51,336440.0,0.83,1364.0,1.64
2020-07-31,Toledo,OH,200100.0,5.26,144317.0,2.0,132121.0,0.89,1046.0,0.38
2020-07-31,Madison,WI,354600.0,0.0,294333.0,0.01,296806.0,0.26,1230.0,0.9
2020-07-31,Lakeland,FL,244510.0,0.85,216935.0,1.77,199329.0,0.22,1363.0,0.52
2020-07-31,Ogden,UT,433888.0,3.77,325833.0,1.98,346347.0,0.74,1338.0,0.75
2020-07-31,Daytona Beach,FL,285500.0,1.13,238167.0,2.29,231254.0,0.15,1401.0,0.86
2020-07-31,Des Moines,IA,276057.0,0.91,229083.0,0.84,213915.0,0.62,1091.0,1.11
2020-07-31,Provo,UT,445019.0,3.67,350924.0,0.78,386727.0,0.72,1379.0,0.95
2020-07-31,Durham,NC,406900.0,2.26,302937.0,-0.55,281881.0,0.45,1358.0,-0.15
2020-07-31,Fort Collins,CO,465666.0,1.06,401362.0,0.27,427217.0,0.07,1591.0,0.19
