Date,City,State,HVI,%Change_HVI
2020-07-31,Danville,VA,128085.0,5.55
2020-07-31,Lima,OH,118249.0,0.49
2020-07-31,Cookeville,TN,169947.0,0.53
2020-07-31,California-Lexington Park,MD,307224.0,0.49
2020-07-31,Gadsden,AL,96964.0,-1.26
2020-07-31,Cumberland,MD,96701.0,0.43
2020-07-31,Longview,WA,303961.0,96.76
2020-07-31,Whitewater,WI,243822.0,0.95
2020-07-31,Fond du Lac,WI,151298.0,0.59
2020-07-31,Ithaca,NY,228985.0,0.14
2020-07-31,Ashtabula,OH,116681.0,0.6
2020-07-31,Tullahoma,TN,167612.0,0.65
2020-07-31,Richmond,KY,173703.0,-33.27
2020-07-31,Adrian,MI,166092.0,0.62
2020-07-31,Twin Falls,ID,238192.0,0.79
2020-07-31,Corning,NY,110605.0,-0.05
2020-07-31,Sebring,FL,152442.0,0.56
2020-07-31,Truckee,CA,481797.0,1.16
2020-07-31,Paducah,KY,113966.0,0.0
2020-07-31,Grand Forks,ND,212266.0,-0.9
2020-07-31,Shelby,NC,157093.0,0.94
2020-07-31,Fairbanks,AK,181975.0,0.39
2020-07-31,Ocean City,NJ,423416.0,1.42
2020-07-31,Mankato,MN,220033.0,0.38
2020-07-31,Rome,GA,140495.0,0.72
2020-07-31,Cape Girardeau,MO,162122.0,0.28
2020-07-31,Hot Springs,AR,160269.0,0.67
2020-07-31,Greenwood,SC,122121.0,0.5
2020-07-31,Clarksburg,WV,108418.0,0.38
2020-07-31,Dubuque,IA,189585.0,0.36
2020-07-31,Albertville,AL,143539.0,1.77
2020-07-31,New Philadelphia,OH,126351.0,-0.34
2020-07-31,Orangeburg,SC,96758.0,0.1
2020-07-31,Cheyenne,WY,312831.0,0.33
2020-07-31,New Castle,PA,111481.0,-0.4
2020-07-31,Brainerd,MN,216956.0,0.76
2020-07-31,Kalispell,MT,372739.0,0.73
2020-07-31,Sevierville,TN,264632.0,0.75
2020-07-31,Moses Lake,WA,236059.0,0.89
2020-07-31,Elmira,NY,102941.0,-0.25
2020-07-31,Beaver Dam,WI,176547.0,1.27
2020-07-31,Pinehurst-Southern Pines,NC,257121.0,0.79
2020-07-31,Ukiah,CA,416789.0,2.12
2020-07-31,Lufkin,TX,128206.0,-0.18
2020-07-31,Corvallis,OR,389389.0,-0.52
2020-07-31,Russellville,AR,121651.0,0.11
2020-07-31,Watertown,WI,232368.0,56.18
2020-07-31,Midland,MI,157935.0,-40.41
2020-07-31,Pocatello,ID,219618.0,0.98
2020-07-31,Kokomo,IN,122232.0,0.08
2020-07-31,Grants Pass,OR,312150.0,0.45
2020-07-31,Plattsburgh,NY,150306.0,0.17
2020-07-31,Danville,IL,68509.0,-46.51
2020-07-31,Manitowoc,WI,137165.0,0.85
2020-07-31,Great Falls,MT,208892.0,0.67
2020-07-31,Olean,NY,87253.0,0.23
2020-07-31,Auburn,NY,139317.0,-9.13
2020-07-31,Athens,TX,168292.0,-24.51
2020-07-31,Oak Harbor,WA,437202.0,0.91
2020-07-31,Chillicothe,OH,131074.0,0.56
2020-07-31,Hinesville,GA,153690.0,0.19
2020-07-31,Warsaw,IN,193921.0,0.28
2020-07-31,Stillwater,OK,158179.0,0.04
2020-07-31,Quincy,IL,122493.0,-0.14
2020-07-31,Keene,NH,218999.0,-0.33
2020-07-31,Sandusky,OH,149099.0,-0.5
2020-07-31,Searcy,AR,117947.0,-0.11
2020-07-31,Columbus,IN,183725.0,41.48
2020-07-31,Roanoke Rapids,NC,75540.0,0.5
2020-07-31,Casper,WY,232662.0,0.35
2020-07-31,Findlay,OH,167974.0,1.3
2020-07-31,Palatka,FL,141100.0,1.17
2020-07-31,Seneca,SC,182348.0,0.79
2020-07-31,Glenwood Springs,CO,570211.0,0.69
2020-07-31,Aberdeen,WA,217167.0,1.54
2020-07-31,Port Angeles,WA,338496.0,0.88
2020-07-31,Greenfield Town,MA,230408.0,0.74
2020-07-31,Muskogee,OK,86513.0,0.08
2020-07-31,Frankfort,KY,154028.0,-0.15
2020-07-31,Mount Pleasant,MI,144680.0,0.19
2020-07-31,Statesboro,GA,155611.0,-1.46
2020-07-31,Minot,ND,275198.0,-0.76
2020-07-31,Shawnee,OK,104411.0,-0.37
2020-07-31,Richmond,IN,104841.0,-39.64
2020-07-31,Martinsville,VA,83913.0,0.04
2020-07-31,Kapaa,HI,639233.0,-0.27
2020-07-31,LaGrange,GA,160061.0,0.11
2020-07-31,Marion,OH,105225.0,0.56
2020-07-31,Morehead City,NC,289644.0,0.59
2020-07-31,Klamath Falls,OR,202434.0,1.69
2020-07-31,Marinette,WI,111727.0,0.39
2020-07-31,Roswell,NM,111332.0,0.19
2020-07-31,Marshall,TX,150163.0,51.97
2020-07-31,Farmington,MO,123233.0,-16.34
2020-07-31,Charleston,IL,83896.0,-70.65
2020-07-31,Hobbs,NM,174856.0,0.41
2020-07-31,Clearlake,CA,254053.0,0.52
2020-07-31,Faribault,MN,252528.0,0.44
2020-07-31,Ionia,MI,162484.0,-1.49
2020-07-31,Alamogordo,NM,140476.0,0.37
2020-07-31,Red Bluff,CA,249438.0,0.66
2020-07-31,Hudson,NY,275347.0,0.17
2020-07-31,Somerset,KY,144355.0,-0.43
2020-07-31,Coos Bay,OR,249108.0,0.38
2020-07-31,Walla Walla,WA,280803.0,0.46
2020-07-31,Oneonta,NY,157048.0,0.27
2020-07-31,Fort Madison,IA,92612.0,0.2
2020-07-31,Baraboo,WI,209311.0,0.06
2020-07-31,Big Stone Gap,VA,75719.0,0.21
2020-07-31,Shelton,WA,313689.0,1.1
2020-07-31,Enid,OK,89579.0,-1.4
2020-07-31,Georgetown,SC,247876.0,0.25
2020-07-31,Laconia,NH,285313.0,0.2
2020-07-31,Batavia,NY,144933.0,0.66
2020-07-31,Barre,VT,235586.0,0.29
2020-07-31,Sterling,IL,102796.0,-0.23
2020-07-31,Dublin,GA,110754.0,0.29
2020-07-31,Vicksburg,MS,131661.0,0.2
2020-07-31,Sanford,NC,155331.0,0.38
2020-07-31,Fergus Falls,MN,245017.0,0.23
2020-07-31,Fairmont,WV,112490.0,0.19
2020-07-31,Picayune,MS,143489.0,0.35
2020-07-31,Gloversville,NY,120984.0,0.24
2020-07-31,Gaffney,SC,93758.0,0.57
2020-07-31,Carson City,NV,339052.0,0.15
2020-07-31,Waycross,GA,99285.0,0.39
2020-07-31,Morgan City,LA,123632.0,0.01
2020-07-31,McComb,MS,107886.0,0.88
2020-07-31,Rochelle,IL,137189.0,-0.22
2020-07-31,Scottsboro,AL,113985.0,0.36
2020-07-31,Danville,KY,121175.0,76.87
2020-07-31,Natchez,MS,97441.0,0.21
2020-07-31,Greenville,OH,144085.0,-33.21
2020-07-31,Galesburg,IL,79054.0,-0.46
2020-07-31,Fort Polk South,LA,102231.0,0.03
2020-07-31,Fort Leonard Wood,MO,157181.0,-1.06
2020-07-31,Glasgow,KY,118324.0,-0.04
2020-07-31,Edwards,CO,776510.0,-1.07
2020-07-31,Fernley,NV,289234.0,-0.08
2020-07-31,Malone,NY,117900.0,0.33
2020-07-31,Durango,CO,434283.0,0.73
2020-07-31,Bartlesville,OK,121471.0,-0.09
2020-07-31,Elko,NV,305882.0,0.13
2020-07-31,Rexburg,ID,306515.0,0.63
2020-07-31,St. Marys,GA,182861.0,-0.22
2020-07-31,Cortland,NY,135780.0,0.09
2020-07-31,Clovis,NM,153168.0,0.38
2020-07-31,Norfolk,NE,165887.0,0.24
2020-07-31,Freeport,IL,92245.0,0.09
2020-07-31,Starkville,MS,182437.0,0.22
2020-07-31,Burlington,IA,105362.0,-38.67
2020-07-31,Cadillac,MI,125645.0,0.08
2020-07-31,Ardmore,OK,96152.0,0.17
2020-07-31,Oxford,MS,204295.0,0.2
2020-07-31,Bogalusa,LA,109147.0,0.24
2020-07-31,Gardnerville Ranchos,NV,482283.0,0.37
2020-07-31,Tahlequah,OK,114984.0,0.22
2020-07-31,Cañon City,CO,245224.0,0.55
2020-07-31,Ruston,LA,158979.0,-0.04
2020-07-31,Hillsdale,MI,141616.0,0.08
2020-07-31,Ponca City,OK,68816.0,0.15
2020-07-31,Blytheville,AR,89882.0,-2.05
2020-07-31,Red Wing,MN,247713.0,0.61
2020-07-31,Newport,OR,323721.0,166.22
2020-07-31,McAlester,OK,89444.0,-0.75
2020-07-31,Moultrie,GA,97141.0,0.23
2020-07-31,Harrison,AR,126728.0,-0.24
2020-07-31,Shelbyville,TN,192934.0,0.19
2020-07-31,Duncan,OK,90130.0,-0.87
2020-07-31,Thomasville,GA,144264.0,0.23
2020-07-31,Bemidji,MN,185187.0,0.5
2020-07-31,Mount Sterling,KY,113450.0,-0.42
2020-07-31,Ottumwa,IA,88909.0,0.02
2020-07-31,Pahrump,NV,258424.0,0.56
2020-07-31,Selma,AL,58332.0,-0.02
2020-07-31,Rock Springs,WY,236142.0,-0.05
2020-07-31,Cornelia,GA,152523.0,0.4
2020-07-31,Burley,ID,211140.0,0.57
2020-07-31,Poplar Bluff,MO,112561.0,0.02
2020-07-31,Muscatine,IA,140761.0,0.12
2020-07-31,Alma,MI,95541.0,0.32
2020-07-31,Durant,OK,125137.0,0.29
2020-07-31,Douglas,GA,111826.0,0.38
2020-07-31,Willmar,MN,192204.0,0.27
2020-07-31,Auburn,IN,153118.0,9.91
2020-07-31,Sedalia,MO,104669.0,0.27
2020-07-31,Warren,PA,92485.0,-0.28
2020-07-31,El Dorado,AR,81951.0,0.18
2020-07-31,Mountain Home,AR,133368.0,-0.07
2020-07-31,Cedartown,GA,113785.0,0.52
2020-07-31,El Campo,TX,150717.0,0.22
2020-07-31,Ellensburg,WA,349163.0,0.55
2020-07-31,Jacksonville,IL,98242.0,-44.1
2020-07-31,Sandpoint,ID,401180.0,0.66
2020-07-31,Alice,TX,100887.0,0.05
2020-07-31,Marshalltown,IA,113172.0,0.11
2020-07-31,Espa±ola,NM,175884.0,-0.16
2020-07-31,Riverton,WY,222908.0,0.08
2020-07-31,Tifton,GA,140895.0,0.23
2020-07-31,Cambridge,OH,111396.0,-28.39
2020-07-31,McMinnville,TN,132636.0,0.46
2020-07-31,Selinsgrove,PA,176922.0,0.5
2020-07-31,Natchitoches,LA,174554.0,0.03
2020-07-31,Sikeston,MO,109141.0,0.15
2020-07-31,Austin,MN,135996.0,-61.01
2020-07-31,Pontiac,IL,108592.0,-0.22
2020-07-31,Hannibal,MO,126785.0,0.03
2020-07-31,Houghton,MI,129554.0,-0.38
2020-07-31,Sault Ste. Marie,MI,113890.0,1.12
2020-07-31,Americus,GA,89055.0,0.08
2020-07-31,Easton,MD,311697.0,0.4
