RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
394358,20,"Baltimore, MD",Msa,MD,303233.0,299900.0,304933.0,313300.0,326633.0,337967.0,345967.0,345967.0,341967.0,335633.0,329000.0,320000.0,313333.0,311667.0,316667.0,328300.0,339967.0,348658.0,350858.0,350825.0,347100.0,341600.0,334633.0,327967.0,322933.0,323233.0,329933.0,339443.0,347810.0,356143.0,363008.0,364675.0,361342.0,356667.0,351633.0,346600.0,341267.0,342967.0,352333.0,362633.0,372600.0,374933.0,374963.0,367997.0,361330.0,354000.0,347667.0,342633.0,336633.0,333300.0,336667.0,348300.0,363300.0,373300.0
394530,21,"Denver, CO",Msa,CO,541309.0,554944.0,558294.0,556621.0,547997.0,536330.0,519667.0,506333.0,494167.0,487167.0,480497.0,477663.0,481330.0,491419.0,506752.0,518419.0,523438.0,521772.0,516738.0,509933.0,502933.0,497967.0,497967.0,499967.0,509967.0,526633.0,541633.0,544967.0,541633.0,541633.0,546633.0,550000.0,543667.0,532000.0,520333.0,518333.0,523967.0,535633.0,547300.0,563460.0,580093.0,596615.0,606488.0,610248.0,612060.0,615360.0,619967.0,626630.0,632488.0,640821.0,654158.0,673333.0,690000.0,693333.0
394982,22,"Pittsburgh, PA",Msa,PA,171567.0,169900.0,173233.0,177267.0,183133.0,184833.0,184133.0,181600.0,179900.0,178267.0,175933.0,172630.0,170930.0,170797.0,175133.0,181800.0,189300.0,194800.0,198133.0,199467.0,198633.0,195300.0,190633.0,184967.0,183300.0,185667.0,192300.0,197300.0,204900.0,214900.0,227597.0,234130.0,234163.0,234467.0,234600.0,234600.0,234300.0,237667.0,244300.0,252083.0,257050.0,257080.0,249630.0,239330.0,231500.0,226833.0,223500.0,218000.0,211333.0,208300.0,208300.0,213300.0,218333.0,224667.0
394998,23,"Portland, OR",Msa,OR,469631.0,476173.0,482735.0,489265.0,490904.0,490888.0,487599.0,481020.0,472838.0,466304.0,463031.0,461395.0,463052.0,466341.0,472920.0,479056.0,483327.0,484146.0,481282.0,477027.0,471299.0,467535.0,464263.0,464263.0,467340.0,475522.0,482068.0,481086.0,480726.0,482329.0,492148.0,495977.0,499937.0,501002.0,507029.0,513872.0,520920.0,525750.0,534650.0,551317.0,573317.0,589633.0,594633.0,589300.0,581333.0,574667.0,572963.0,572963.0,579628.0,586665.0,594965.0,598267.0,599933.0,599966.0
394458,24,"Charlotte, NC",Msa,NC,328072.0,328104.0,332659.0,339125.0,345526.0,347792.0,344866.0,338465.0,331541.0,325091.0,320872.0,317419.0,315803.0,318405.0,324903.0,332986.0,341035.0,345529.0,345529.0,341682.0,336509.0,333923.0,331337.0,331822.0,332630.0,335863.0,340583.0,342329.0,346653.0,351825.0,362320.0,367699.0,369651.0,369671.0,370483.0,370962.0,370628.0,372126.0,377963.0,387993.0,398663.0,405163.0,406833.0,404333.0,403000.0,406333.0,409667.0,410000.0,407000.0,403667.0,405500.0,410163.0,420160.0,429960.0
395045,25,"Sacramento, CA",Msa,CA,462983.0,468667.0,477667.0,486667.0,492667.0,491667.0,486333.0,479667.0,471333.0,464667.0,457667.0,456000.0,458000.0,466333.0,481000.0,492633.0,502933.0,511567.0,519267.0,522300.0,517300.0,509630.0,503263.0,504212.0,510482.0,519516.0,525267.0,525633.0,524967.0,527967.0,537667.0,547667.0,559663.0,567163.0,575463.0,580133.0,587283.0,590317.0,585650.0,588663.0,598963.0,615597.0,623267.0,621633.0,619000.0,618663.0,621996.0,629630.0,638266.0,649263.0,655963.0,662663.0,663333.0,659967.0
395055,26,"San Antonio, TX",Msa,TX,279966.0,280000.0,283000.0,288667.0,295133.0,298466.0,297799.0,293667.0,288657.0,283657.0,281468.0,280811.0,280811.0,280633.0,281633.0,284967.0,290000.0,293082.0,293048.0,289715.0,286600.0,283297.0,281297.0,278997.0,278633.0,278967.0,282633.0,286153.0,290153.0,293787.0,297300.0,299933.0,299633.0,297967.0,294667.0,291443.0,289743.0,291409.0,295133.0,301000.0,306330.0,316163.0,329997.0,342667.0,348663.0,348178.0,345145.0,342719.0,343537.0,351567.0,361330.0,369663.0,379167.0,388833.0
394943,27,"Orlando, FL",Msa,FL,299900.0,302933.0,309300.0,317667.0,323000.0,325000.0,324967.0,323267.0,319933.0,314933.0,308300.0,303267.0,299933.0,299933.0,303300.0,310000.0,318333.0,323333.0,325000.0,325000.0,325333.0,325333.0,325333.0,324997.0,324897.0,326530.0,328200.0,325267.0,321933.0,320267.0,324967.0,328333.0,330633.0,332133.0,332133.0,331500.0,329330.0,328997.0,331597.0,338567.0,347200.0,358233.0,368597.0,378630.0,384963.0,391300.0,395617.0,398950.0,402583.0,410597.0,425152.0,440852.0,458522.0,469000.0
394466,28,"Cincinnati, OH",Msa,OH,218300.0,219967.0,231600.0,248267.0,261600.0,267467.0,265797.0,259130.0,251630.0,244967.0,241167.0,236133.0,232767.0,236600.0,249933.0,266300.0,279300.0,285333.0,287333.0,284000.0,278833.0,272167.0,265800.0,261300.0,261267.0,269600.0,283233.0,294933.0,308300.0,321496.0,333163.0,334363.0,327533.0,320833.0,312933.0,310567.0,311133.0,320300.0,332212.0,346903.0,361103.0,365191.0,359630.0,345627.0,335460.0,330597.0,328933.0,330130.0,336963.0,348297.0,359600.0,365967.0,363633.0,354667.0
394475,29,"Cleveland, OH",Msa,OH,161567.0,161567.0,164900.0,171433.0,176433.0,181633.0,183467.0,183497.0,181630.0,179930.0,178267.0,176600.0,174933.0,176567.0,179933.0,185404.0,191937.0,196904.0,199467.0,196267.0,192933.0,188267.0,184933.0,181600.0,179900.0,180900.0,185933.0,192300.0,201300.0,209600.0,218267.0,220967.0,214300.0,205933.0,196600.0,193133.0,191500.0,199667.0,213166.0,229163.0,237630.0,237297.0,230967.0,220967.0,211267.0,201567.0,197600.0,194967.0,191667.0,184000.0,180000.0,180833.0,189167.0,201667.0
394735,30,"Kansas City, MO",Msa,MO,254656.0,259950.0,269617.0,274633.0,277500.0,276167.0,275333.0,272467.0,272783.0,280283.0,286950.0,293300.0,296617.0,307317.0,320650.0,332000.0,337967.0,336300.0,329967.0,319967.0,312967.0,308117.0,304817.0,302483.0,307300.0,317563.0,333230.0,342930.0,352667.0,359633.0,364950.0,361617.0,353317.0,345000.0,341633.0,339933.0,342583.0,354267.0,370367.0,384383.0,391967.0,390900.0,384217.0,368993.0,358993.0,355677.0,361665.0,373748.0,391998.0,410833.0,423733.0,427150.0,427983.0,419667.0
394775,31,"Las Vegas, NV",Msa,NV,290276.0,291947.0,294947.0,306300.0,324514.0,341514.0,349514.0,347963.0,341296.0,333295.0,324966.0,321599.0,318265.0,314965.0,312631.0,313313.0,316813.0,320846.0,323500.0,324333.0,322633.0,320933.0,319933.0,319967.0,321333.0,325667.0,334000.0,335667.0,333667.0,330333.0,335333.0,341333.0,344667.0,346333.0,347333.0,347333.0,346333.0,346333.0,356333.0,374000.0,398000.0,417483.0,427817.0,437483.0,446300.0,459300.0,468367.0,478400.0,488734.0,501667.0,513333.0,521667.0,526333.0,523000.0
394492,32,"Columbus, OH",Msa,OH,253933.0,268133.0,284800.0,302433.0,311597.0,316963.0,315297.0,306967.0,294933.0,283267.0,274705.0,268072.0,264739.0,269967.0,286800.0,306800.0,320133.0,325933.0,325967.0,320262.0,309262.0,295095.0,285767.0,280133.0,282600.0,292600.0,306567.0,316567.0,326567.0,336567.0,344933.0,341600.0,329967.0,322963.0,321297.0,324960.0,325297.0,328993.0,336663.0,345327.0,349997.0,348963.0,346133.0,341133.0,335490.0,332990.0,337823.0,346500.0,354800.0,361600.0,366267.0,367967.0,365233.0,362233.0
394705,33,"Indianapolis, IN",Msa,IN,210800.0,215798.0,227598.0,251631.0,272600.0,284267.0,279267.0,269633.0,259633.0,249600.0,239900.0,233100.0,230133.0,235167.0,248633.0,266633.0,281600.0,286600.0,284900.0,279767.0,274800.0,269800.0,264633.0,258633.0,257000.0,261997.0,273540.0,283537.0,292205.0,302495.0,311165.0,316163.0,309997.0,299630.0,287633.0,279600.0,277298.0,279598.0,286962.0,294627.0,300063.0,301066.0,300703.0,300298.0,302628.0,304328.0,307330.0,311302.0,316302.0,322633.0,326298.0,329632.0,331566.0,330533.0
395059,34,"San Jose, CA",Msa,CA,1078317.0,1111650.0,1156667.0,1208333.0,1245000.0,1261333.0,1244333.0,1199296.0,1149629.0,1115963.0,1082629.0,1048629.0,1015592.0,1031925.0,1065925.0,1112962.0,1139869.0,1156536.0,1144676.0,1117807.0,1100807.0,1099000.0,1096000.0,1072450.0,1072412.0,1108413.0,1165629.0,1192333.0,1192667.0,1209333.0,1238000.0,1255000.0,1254983.0,1248317.0,1248317.0,1231333.0,1216296.0,1216296.0,1239296.0,1256000.0,1272633.0,1283298.0,1298298.0,1289998.0,1283333.0,1276667.0,1255000.0,1228000.0,1236000.0,1282667.0,1359667.0,1409667.0,1455667.0,1462333.0
394355,35,"Austin, TX",Msa,TX,351492.0,353293.0,357539.0,362113.0,363496.0,363496.0,360469.0,354928.0,348862.0,344313.0,340898.0,336651.0,333939.0,335464.0,342437.0,351519.0,357585.0,355162.0,346973.0,338177.0,332111.0,328949.0,327114.0,324081.0,324225.0,328148.0,338375.0,345659.0,353580.0,363067.0,374269.0,383795.0,390720.0,396668.0,401293.0,401800.0,404463.0,414297.0,431993.0,455963.0,477297.0,492963.0,502997.0,506538.0,514229.0,518893.0,523588.0,523900.0,525233.0,533997.0,556993.0,584330.0,609296.0,616966.0
395194,36,"Virginia Beach, VA",Msa,VA,257295.0,256974.0,259866.0,264319.0,269749.0,273283.0,275609.0,275641.0,275352.0,273100.0,271461.0,269694.0,270501.0,273553.0,278533.0,284124.0,287497.0,289072.0,289072.0,289072.0,288782.0,288493.0,288493.0,288782.0,289072.0,289101.0,292249.0,296298.0,302695.0,307808.0,313399.0,316612.0,316382.0,315386.0,312056.0,307633.0,302600.0,299930.0,302297.0,307330.0,310667.0,310000.0,306623.0,303290.0,302956.0,301333.0,301333.0,300000.0,301663.0,305830.0,312497.0,320833.0,329000.0,335633.0
