Date,City,State,SizeRank,Avg_Sale_Price,%Change_SP
2014-03-31,Bakersfield,CA,63,185417.0,0.09
2014-03-31,Knoxville,TN,64,142798.0,0.48
2014-03-31,Greenville,SC,65,149000.0,-1.32
2014-03-31,Ventura,CA,66,447000.0,-1.11
2014-03-31,Allentown,PA,67,172667.0,-1.64
2014-03-31,El Paso,TX,68,136192.0,-1.77
2014-03-31,Baton Rouge,LA,69,174983.0,-1.69
2014-03-31,Dayton,OH,70,113167.0,-2.23
2014-03-31,McAllen,TX,71,108500.0,5.0
2014-03-31,Columbia,SC,72,144917.0,-1.91
2014-03-31,Greensboro,NC,73,126000.0,1.48
2014-03-31,Akron,OH,74,114133.0,2.24
2014-03-31,North Port-Sarasota-Bradenton,FL,75,207236.0,-1.22
2014-03-31,Little Rock,AR,76,166958.0,-2.7
2014-03-31,Stockton,CA,77,252000.0,1.2
2014-03-31,Charleston,SC,78,223836.0,-0.83
2014-03-31,Syracuse,NY,79,115500.0,-1.21
2014-03-31,Colorado Springs,CO,80,221829.0,-0.97
2014-03-31,Winston-Salem,NC,81,124167.0,-1.32
2014-03-31,Wichita,KS,82,114000.0,-0.87
2014-03-31,Springfield,MA,83,174483.0,0.95
2014-03-31,Fort Myers,FL,84,179315.0,0.19
2014-03-31,Boise City,ID,85,170875.0,-1.11
2014-03-31,Toledo,OH,86,87000.0,-6.95
2014-03-31,Madison,WI,87,188133.0,0.98
2014-03-31,Lakeland,FL,88,130188.0,-3.7
2014-03-31,Ogden,UT,89,181117.0,0.99
2014-03-31,Daytona Beach,FL,90,148333.0,-0.11
2014-03-31,Des Moines,IA,91,155667.0,-3.11
2014-03-31,Provo,UT,100,208833.0,0.37
2014-03-31,Durham,NC,104,202417.0,-1.16
2014-03-31,Fort Collins,CO,159,244325.0,-0.58
2014-04-30,New York,NY,1,357667.0,-1.56
2014-04-30,Los Angeles-Long Beach-Anaheim,CA,2,494667.0,2.06
2014-04-30,Chicago,IL,3,189333.0,3.46
2014-04-30,Dallas-Fort Worth,TX,4,182663.0,3.39
2014-04-30,Philadelphia,PA,5,209167.0,0.97
2014-04-30,Houston,TX,6,182300.0,2.24
2014-04-30,Washington,DC,7,362493.0,1.03
2014-04-30,Miami-Fort Lauderdale,FL,8,204250.0,1.28
2014-04-30,Atlanta,GA,9,188750.0,3.1
2014-04-30,Boston,MA,10,343167.0,-0.59
2014-04-30,San Francisco,CA,11,588167.0,5.75
2014-04-30,Detroit,MI,12,138625.0,1.8
2014-04-30,Riverside,CA,13,272667.0,1.24
2014-04-30,Phoenix,AZ,14,201939.0,0.49
2014-04-30,Seattle,WA,15,321350.0,2.73
2014-04-30,Minneapolis-St Paul,MN,16,200973.0,0.84
2014-04-30,San Diego,CA,17,438500.0,1.94
2014-04-30,St. Louis,MO,18,146350.0,0.46
2014-04-30,Tampa,FL,19,151633.0,1.54
2014-04-30,Baltimore,MD,20,265867.0,1.62
2014-04-30,Denver,CO,21,275146.0,2.47
2014-04-30,Pittsburgh,PA,22,134583.0,3.35
2014-04-30,Portland,OR,23,266993.0,2.37
2014-04-30,Charlotte,NC,24,185333.0,2.58
2014-04-30,Sacramento,CA,25,297167.0,2.89
2014-04-30,San Antonio,TX,26,173300.0,2.06
2014-04-30,Orlando,FL,27,183933.0,1.66
2014-04-30,Cincinnati,OH,28,138300.0,1.84
2014-04-30,Cleveland,OH,29,117567.0,3.28
2014-04-30,Kansas City,MO,30,153583.0,1.94
2014-04-30,Las Vegas,NV,31,192583.0,-0.43
2014-04-30,Columbus,OH,32,148633.0,1.11
2014-04-30,Indianapolis,IN,33,131650.0,2.62
2014-04-30,San Jose,CA,34,713917.0,5.23
2014-04-30,Austin,TX,35,234600.0,4.05
2014-04-30,Virginia Beach,VA,36,217640.0,2.75
2014-04-30,Nashville,TN,37,182146.0,1.16
2014-04-30,Providence,RI,38,207833.0,-0.8
2014-04-30,Milwaukee,WI,39,163250.0,0.2
2014-04-30,Jacksonville,FL,40,196726.0,1.72
2014-04-30,Memphis,TN,41,142017.0,1.79
2014-04-30,Oklahoma City,OK,42,148167.0,2.54
2014-04-30,Louisville-Jefferson County,KY,43,139546.0,1.58
2014-04-30,Hartford,CT,44,203000.0,-1.22
2014-04-30,Richmond,VA,45,203333.0,1.67
2014-04-30,New Orleans,LA,46,166633.0,0.02
2014-04-30,Buffalo,NY,47,122650.0,0.82
2014-04-30,Raleigh,NC,48,214917.0,0.86
2014-04-30,Birmingham,AL,49,186873.0,1.25
2014-04-30,Salt Lake City,UT,50,223854.0,0.36
2014-04-30,Rochester,NY,51,124099.0,0.91
2014-04-30,Grand Rapids,MI,52,130267.0,1.67
2014-04-30,Tucson,AZ,53,169333.0,-0.15
2014-04-30,Urban Honolulu,HI,54,483333.0,-3.14
2014-04-30,Tulsa,OK,55,140333.0,1.45
2014-04-30,Fresno,CA,56,213500.0,1.95
2014-04-30,Worcester,MA,57,217417.0,0.31
2014-04-30,Stamford,CT,58,371667.0,1.68
2014-04-30,Albuquerque,NM,59,167667.0,0.42
2014-04-30,Albany,NY,60,174167.0,-1.42
2014-04-30,Omaha,NE,61,146833.0,0.11
2014-04-30,New Haven,CT,62,183417.0,2.8
2014-04-30,Bakersfield,CA,63,185750.0,0.18
2014-04-30,Knoxville,TN,64,145614.0,1.97
2014-04-30,Greenville,SC,65,146417.0,-1.73
2014-04-30,Ventura,CA,66,450500.0,0.78
2014-04-30,Allentown,PA,67,170167.0,-1.45
2014-04-30,El Paso,TX,68,136175.0,-0.01
2014-04-30,Baton Rouge,LA,69,178317.0,1.91
2014-04-30,Dayton,OH,70,113917.0,0.66
2014-04-30,McAllen,TX,71,113000.0,4.15
2014-04-30,Columbia,SC,72,146583.0,1.15
2014-04-30,Greensboro,NC,73,132667.0,5.29
2014-04-30,Akron,OH,74,118767.0,4.06
2014-04-30,North Port-Sarasota-Bradenton,FL,75,205236.0,-0.97
2014-04-30,Little Rock,AR,76,169194.0,1.34
2014-04-30,Stockton,CA,77,254667.0,1.06
2014-04-30,Charleston,SC,78,225838.0,0.89
2014-04-30,Syracuse,NY,79,117917.0,2.09
2014-04-30,Colorado Springs,CO,80,218967.0,-1.29
2014-04-30,Winston-Salem,NC,81,127867.0,2.98
2014-04-30,Wichita,KS,82,116583.0,2.27
2014-04-30,Springfield,MA,83,178317.0,2.2
2014-04-30,Fort Myers,FL,84,179333.0,0.01
2014-04-30,Boise City,ID,85,171333.0,0.27
2014-04-30,Toledo,OH,86,87633.0,0.73
2014-04-30,Madison,WI,87,190000.0,0.99
2014-04-30,Lakeland,FL,88,127667.0,-1.94
2014-04-30,Ogden,UT,89,183028.0,1.06
2014-04-30,Daytona Beach,FL,90,146667.0,-1.12
2014-04-30,Des Moines,IA,91,156667.0,0.64
2014-04-30,Provo,UT,100,210292.0,0.7
2014-04-30,Durham,NC,104,200667.0,-0.86
2014-04-30,Fort Collins,CO,159,243613.0,-0.29
2014-05-31,New York,NY,1,359300.0,0.46
2014-05-31,Los Angeles-Long Beach-Anaheim,CA,2,504667.0,2.02
2014-05-31,Chicago,IL,3,201667.0,6.51
2014-05-31,Dallas-Fort Worth,TX,4,187997.0,2.92
2014-05-31,Philadelphia,PA,5,215333.0,2.95
2014-05-31,Houston,TX,6,186300.0,2.19
2014-05-31,Washington,DC,7,377260.0,4.07
2014-05-31,Miami-Fort Lauderdale,FL,8,215417.0,5.47
2014-05-31,Atlanta,GA,9,197750.0,4.77
2014-05-31,Boston,MA,10,355833.0,3.69
2014-05-31,San Francisco,CA,11,614833.0,4.53
2014-05-31,Detroit,MI,12,143625.0,3.61
2014-05-31,Riverside,CA,13,277500.0,1.77
2014-05-31,Phoenix,AZ,14,203939.0,0.99
2014-05-31,Seattle,WA,15,327183.0,1.82
2014-05-31,Minneapolis-St Paul,MN,16,205707.0,2.36
2014-05-31,San Diego,CA,17,448333.0,2.24
2014-05-31,St. Louis,MO,18,152083.0,3.92
2014-05-31,Tampa,FL,19,157133.0,3.63
2014-05-31,Baltimore,MD,20,277200.0,4.26
2014-05-31,Denver,CO,21,282300.0,2.6
2014-05-31,Pittsburgh,PA,22,139833.0,3.9
2014-05-31,Portland,OR,23,271833.0,1.81
2014-05-31,Charlotte,NC,24,192667.0,3.96
2014-05-31,Sacramento,CA,25,305000.0,2.64
2014-05-31,San Antonio,TX,26,177500.0,2.42
2014-05-31,Orlando,FL,27,187000.0,1.67
2014-05-31,Cincinnati,OH,28,144000.0,4.12
2014-05-31,Cleveland,OH,29,123733.0,5.24
2014-05-31,Kansas City,MO,30,162347.0,5.71
2014-05-31,Las Vegas,NV,31,192583.0,0.0
2014-05-31,Columbus,OH,32,154267.0,3.79
2014-05-31,Indianapolis,IN,33,134967.0,2.52
2014-05-31,San Jose,CA,34,734167.0,2.84
2014-05-31,Austin,TX,35,239617.0,2.14
2014-05-31,Virginia Beach,VA,36,222967.0,2.45
2014-05-31,Nashville,TN,37,186113.0,2.18
2014-05-31,Providence,RI,38,213333.0,2.65
2014-05-31,Milwaukee,WI,39,169417.0,3.78
2014-05-31,Jacksonville,FL,40,203150.0,3.27
2014-05-31,Memphis,TN,41,149167.0,5.03
2014-05-31,Oklahoma City,OK,42,151500.0,2.25
2014-05-31,Louisville-Jefferson County,KY,43,144000.0,3.19
