Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2021-04-30,Nashville,TN,37,1530.0,1.93
2021-04-30,Providence,RI,38,1650.0,2.42
2021-04-30,Jacksonville,FL,40,1451.0,2.04
2021-04-30,Memphis,TN,41,1306.0,2.03
2021-04-30,Oklahoma City,OK,42,1169.0,1.3
2021-04-30,Louisville-Jefferson County,KY,43,1144.0,1.51
2021-04-30,Hartford,CT,44,1463.0,1.32
2021-04-30,New Orleans,LA,46,1305.0,1.24
2021-04-30,Buffalo,NY,47,1107.0,1.56
2021-04-30,Raleigh,NC,48,1458.0,1.6
2021-04-30,Birmingham,AL,49,1181.0,0.68
2021-04-30,Salt Lake City,UT,50,1397.0,2.19
2021-04-30,Grand Rapids,MI,52,1279.0,1.11
2021-04-30,Tucson,AZ,53,1362.0,2.18
2021-04-30,Urban Honolulu,HI,54,2452.0,1.95
2021-04-30,Tulsa,OK,55,1138.0,1.34
2021-04-30,Fresno,CA,56,1762.0,2.62
2021-04-30,Worcester,MA,57,1582.0,1.74
2021-04-30,Stamford,CT,58,2375.0,2.02
2021-04-30,Albuquerque,NM,59,1272.0,2.25
2021-04-30,Albany,NY,60,1289.0,2.96
2021-04-30,Omaha,NE,61,1095.0,0.74
2021-04-30,New Haven,CT,62,1687.0,0.3
2021-04-30,Bakersfield,CA,63,1477.0,1.93
2021-04-30,Knoxville,TN,64,1338.0,1.44
2021-04-30,Greenville,SC,65,1295.0,1.25
2021-04-30,Ventura,CA,66,2679.0,2.17
2021-04-30,Allentown,PA,67,1561.0,1.1
2021-04-30,El Paso,TX,68,1190.0,1.36
2021-04-30,Baton Rouge,LA,69,1238.0,1.31
2021-04-30,Dayton,OH,70,1119.0,0.0
2021-04-30,Greensboro,NC,73,1178.0,0.68
2021-04-30,Akron,OH,74,1047.0,2.45
2021-04-30,North Port-Sarasota-Bradenton,FL,75,1804.0,1.18
2021-04-30,Little Rock,AR,76,1044.0,1.46
2021-04-30,Stockton,CA,77,2178.0,1.54
2021-04-30,Charleston,SC,78,1528.0,1.66
2021-04-30,Syracuse,NY,79,1211.0,2.71
2021-04-30,Colorado Springs,CO,80,1620.0,1.69
2021-04-30,Winston-Salem,NC,81,1368.0,1.56
2021-04-30,Springfield,MA,83,1454.0,-0.07
2021-04-30,Fort Myers,FL,84,1592.0,1.92
2021-04-30,Boise City,ID,85,1570.0,2.61
2021-04-30,Toledo,OH,86,1097.0,1.95
2021-04-30,Madison,WI,87,1262.0,0.4
2021-04-30,Lakeland,FL,88,1467.0,1.59
2021-04-30,Ogden,UT,89,1448.0,2.04
2021-04-30,Daytona Beach,FL,90,1526.0,1.8
2021-04-30,Des Moines,IA,91,1110.0,0.0
2021-04-30,Jackson,MS,92,1256.0,0.56
2021-04-30,Youngstown,OH,93,868.0,2.36
