Date,City,State,Avg_List_Price,%Change_LP
2020-09-30,Washington,DC,548217.0,-0.5
2020-09-30,Miami-Fort Lauderdale,FL,401847.0,0.5
2020-09-30,Atlanta,GA,354667.0,0.98
2020-09-30,Boston,MA,649900.0,0.25
2020-09-30,San Francisco,CA,999167.0,0.05
2020-09-30,Detroit,MI,283300.0,-1.05
2020-09-30,Riverside,CA,471667.0,2.24
2020-09-30,Phoenix,AZ,399967.0,0.77
2020-09-30,Seattle,WA,664333.0,-1.04
2020-09-30,Minneapolis-St Paul,MN,386037.0,-1.76
2020-09-30,San Diego,CA,841267.0,0.0
2020-09-30,St. Louis,MO,257133.0,-0.71
2020-09-30,Tampa,FL,296854.0,1.43
2020-09-30,Baltimore,MD,361342.0,-0.91
2020-09-30,Denver,CO,543667.0,-1.15
2020-09-30,Pittsburgh,PA,234163.0,0.01
2020-09-30,Portland,OR,499937.0,0.8
2020-09-30,Charlotte,NC,369651.0,0.53
2020-09-30,Sacramento,CA,559663.0,2.19
2020-09-30,San Antonio,TX,299633.0,-0.1
2020-09-30,Orlando,FL,330633.0,0.7
2020-09-30,Cincinnati,OH,327533.0,-2.04
2020-09-30,Cleveland,OH,214300.0,-3.02
2020-09-30,Kansas City,MO,353317.0,-2.3
2020-09-30,Las Vegas,NV,344667.0,0.98
2020-09-30,Columbus,OH,329967.0,-3.41
2020-09-30,Indianapolis,IN,309997.0,-1.95
2020-09-30,San Jose,CA,1254983.0,-0.0
2020-09-30,Austin,TX,390720.0,1.8
2020-09-30,Virginia Beach,VA,316382.0,-0.07
2020-09-30,Nashville,TN,381567.0,0.87
2020-09-30,Providence,RI,422328.0,-0.81
2020-09-30,Milwaukee,WI,253267.0,-2.55
2020-09-30,Jacksonville,FL,317967.0,-0.42
2020-09-30,Memphis,TN,259967.0,-1.63
2020-09-30,Oklahoma City,OK,296683.0,-1.25
2020-09-30,Louisville-Jefferson County,KY,288932.0,-2.8
2020-09-30,Hartford,CT,345036.0,0.0
2020-09-30,Richmond,VA,382304.0,-0.28
2020-09-30,New Orleans,LA,296833.0,1.15
2020-09-30,Buffalo,NY,228296.0,-1.49
2020-09-30,Raleigh,NC,386899.0,0.97
2020-09-30,Birmingham,AL,277548.0,-1.68
2020-09-30,Salt Lake City,UT,498172.0,-0.28
2020-09-30,Rochester,NY,261472.0,-2.65
2020-09-30,Grand Rapids,MI,321600.0,-0.01
2020-09-30,Tucson,AZ,328300.0,-0.51
2020-09-30,Urban Honolulu,HI,600000.0,-1.37
2020-09-30,Tulsa,OK,273294.0,0.0
